cod_parroquia;nombre_parroquia
71359; Salvias
71450; La Victoria
71451; La Libertad
71452; El Paraiso
71453; San Isidro
80150; Esmeraldas
80152; Camarones
80153; Carlos Concha Torres
80154; Chinca
80159; Majua
80163; San Mateo
80165; Tabiazo
80166; Tachina
80168; Vuelta Larga
80250; Valdez (Limones)
80251; Anchayacu
80252; Atahualpa
80253; Borbon
80254; La Tola
80255; Luis Vargas Torres
80256; Maldonado
80257; Pampanal De Bolivar
80258; San Francisco De Onzole
80259; Santo Domingo De Onzole
80260; Selva Alegre
80261; Telembi
80262; Colon Eloy Del Maria
80263; San Jose De Cayapas
80264; Timbire
80350; Muisne
80351; Bolivar
80352; Daule
80353; Galera
80354; Quingue (Olmedo Perdomo
80355; Salima
80356; San Francisco
80357; San Gregorio
80358; San Jose De Chamanga
80450; Rosa Zarate (Quininde)
80451; Cube
80452; Chura (Chancama)
80453; Malimpia
80454; Viche
80455; La Union
80550; San Lorenzo
80551; Alto Tambo
80552; Ancon (Pichangal)
80553; Calderon
80554; Carondelet
80555; 5 De Junio
80556; Concepcion
80557; Mataje
80558; San Javier De Cachavi
80559; Santa Rita
80560; Tambillo
80561; Tululbi
80562; Urbina
80650; Atacames
80651; La Union
80652; Sua
80653; Tonchigue
80654; Tonsupa
80750; Rioverde
80751; Chontaduro
80752; Chumunde
80753; Lagarto
80754; Montalvo
80755; Rocafuerte
80850; La Concordia
90150; Guayaquil
90152; Juan Gomez Rendon (Progreso)
90153; Morro
90156; Posorja
90157; Puna
90158; Tenguel
90250; Alfredo Baquerizo Moreno
90350; Balao
90450; Balzar
90550; Colimes
90551; San Jacinto
90650; Daule
90652; Juan Bautista Aguirre
90653; Laurel
90654; Limonal
90656; Los Lojas
90750; Eloy Alfaro (Duran)
90850; Velasco Ibarra
90851; Guayas (Pueblo Nuevo)
90852; El Rosario
90950; El Triunfo
91050; Milagro
91051; Chobo
91053; Mariscal Sucre (Huaques)
91054; Roberto Astudillo
91150; Naranjal
91151; Jesus Maria
91152; San Carlos
91153; Santa Rosa De Flandes
91154; Taura
91250; Naranjito
91350; Palestina
91450; Pedro Carbo
91451; Valle De La Virgen
91452; Sabanilla
91650; Samborondon
91651; Tarifa
91850; Santa Lucia
91950; El Salitre (Las Ramas)
91951; General Vernaza
91952; La Victoria (Ñauza)
91953; Junquillal
92050; Yaguachi Nuevo
92053; Montero
92055; Yaguachi Viejo (Cone)
92056; Virgen De Fatima
92150; General Villamil
92250; Simón Bolivar
92251;Lorenzo De Garaicoa
92350; Coronel Marcelino Maridueña
92450; Lomas De Sargentillo
92550; Narcisa De Jesus
92750; General Antonio Elizalde
92850; Isidro Ayora
100150; Ibarra
100151; Ambuqui
100152; Angochagua
100153; Carolina
100154; La Esperanza
100155; Lita
100156; Salinas
100157; San Antonio
100250; Atuntaqui
100251; Imbaya
100252; San Francisco De Natabue
100253; San Jose De Chaltura
100254; San Roque
100350; Cotacachi
100351; Apuela
100352; Garcia Moreno
100353; Imantag
100354; Peñaherrera
100355; Plaza Gutierrez
100356; Quiroga
100357; 6 De Julio De Cuellaje
100358; Vacas Galindo (El Churo)
100450; Otavalo
100451; Miguel Egas Cabezas
100452; Eugenio Espejo (Calpaqui)
100453; Gonzalez Suarez
100454; Pataqui
100455; San Jose De Quichinche
100456; San Juan De Iluman
100457; San Pablo
100458; San Rafael
100459; Selva Alegre
100550; Pimampiro
100551; Chuga
100552; Mariano Acosta
100553; San Francisco De Sigsipa
100650; Urcuqui
100651; Cahuasqui
100652; La Merced De Buenos Aires
100653; Pablo Arenas
100654; San Blas
100655; Tumbabiro
110150; Loja
110151; Chantaco
110152; Chuquiribamba
110153; El Cisne
110154; Gualel
110155; Jimbilla
110156; Malacatos (Valladolid)
110157; San Lucas
110158; San Pedro De Vilcabamba
110159; Santiago
110160; Taquil (Miguel Riofrio)
110161; Vilcabamba (Victoria)
110162; Yangana (Arsenio Castillo)
110163; Quinara
110250; Cariamanga
110251; Colaisaca
110252; El Lucero
110253; Utuana
110254; Sangillin
110350; Catamayo (La Toma)
110351; El Tambo
110352; Guayquichuma
110353; San Pedro De La Bendita
110354; Zambi
110450; Celica
110451; Cruzpamba
110455; Pozul (San Juan De Pozul
110456; Sabanilla
110457; Maximiliano Rodrig
110550; Chaguarpamba
110551; Buenavista
110552; El Rosario
110553; Santa Rufina
110554; Amarillos
110650; Amaluza
110651; Bellavista
110652; Jimbura
110653; Santa Teresita
110654; 27 De Abril
110655; El Ingenio
110656; El Airo
110750; Gonzanama
110751; Changaimina (La Libertad
110753; Nambacola
110754; Purunuma (Eguiguren)
110756; Sacapalca
110850; Macara
110851; Larama
110852; La Victoria
110853; Sabiango (La Capilla)
110950; Catacocha
110951; Cangonama
110952; Guachanama
110954; Lauro Guerrero
110956; Orianga
110957; San Antonio
110958; Casanga
110959; Yamana
111050; Alamor
111051; Ciano
111052; El Arenal
111053; El Limo (Mariana De Jesus)
111054; Mercadillo
111055; Vicentino
111150; Saraguro
111151; El Paraiso De Celen
111152; El Tablon
111153; Lluzhapa
111154; Manu
111155; San Antonio De Qumbe
111156; San Pablo De Tenta
111157; San Sebastian De Yuluc
111158; Selva Alegre
111159; Urdaneta (Paquishapa)
111160; Sumaypamba
111250; Sozoranga
111251; Nueva Fatima
111252; Tacamoros
111350; Zapotillo
111351; Cazaderos
111352; Garzareal
111353; Limones
111354; Paletillas
111355; Bolaspamba
111450; Pindal
111451; Chaquinal
111452; 12 De Diciembre
111550; Quilanga
111551; Fundochamba
111552; San Antonio De Las Aradas
111650; Olmedo
111651; La Tingue
120150; Babahoyo
120152; Caracol
120153; Febres Cordero (Las Juntas)
120154; Pimocha
120155; La Union
120250; Baba
120251; Guare
120252; Isla De Bejucal
120350; Montalvo
120450; Puebloviejo
120451; Puerto Pechiche
120452; San Juan
120550; Quevedo
120553; San Carlos
120555; La Esperanza
120650; Catarama
120651; Ricaurte
120750; Ventanas
120752; Zapotal
120850; Vinces
120851; Antonio Sotomayor
120950; Palenque
121050; San Jacinto De Buena Fe
121051; Patricia Pilar
121150; Valencia
121250; Mocache
121350; Quinsaloma
130150; Portoviejo
130151; Abdon Calderon
130152; Alhajuela (Bajo Grande)
130153; Crucita
130154; Pueblo Nuevo
130155; Riochico (Rio Chico)
130156; San Placido
130157; Chirijos
130250; Calceta
130251; Membrillo
130252; Quiroga
130350; Chone
130351; Boyaca
130352; Canuto
130353; Convento
130354; Chibunga
130355; Eloy Alfaro
130356; Ricaurte
130357; San Antonio
130450; El Carmen
130451; Wilfrido Loor Moreira
130452; San Pedro De Suma
130550; Flavio Alfaro
130551; San Francisco De Novillo
130552; Zapallo
130650; Jipijapa
130651; America
130652; El Anegado
130653; Julcuy
130654; La Union
130656; Membrillal
130657; Pedro Pablo Gomez
130658; Puerto De Cayo
130750; Junin
130850; Manta
130851; San Lorenzo
130852; Santa Marianita
130950; Montecristi
130952; La Pila
131050; Pajan
131051; Campozano
131052; Cascol
131053; Guale
131054; Lascano
131150; Pichincha
131151; Barraganete
131152; San Sebastian
131250; Rocafuerte
131350; Santa Ana De Vuelta Larga
131351; Ayacucho
131352; Honorato Vasquez
131353; La Union
131355; San Pablo
131450; Bahia De Caraquez
131453; Charapoto
131457; San Isidro
131550; Tosagua
131551; Bachillero
131552; Angel Pedro Giler
131650; Sucre
131651; Bellavista
131652; Noboa
131653; Sixto Duran Ballen
131750; Pedernales
131751; Cojimies
131752; 10 De Agosto
131753; Atahualpa
131850; Olmedo
131950; Puerto Lopez
131951; Machalilla
131952; Salango
132050; Jama
132150; Jaramijo
132250; San Vicente
132251; Canoa
140150; Macas
140151; Alshi
140153; General Proaño
140156; San Isidro
140157; Sevilla Don Bosco
140158; Sinai
140160; Zuña (Zuñac)
140162; Cuchaentza
140164; Rio Blanco
140250; Gualaquiza
140251; Amazonas (Rosario De Cuyes)
140252; Bermejos
140253; Bomboiza
140254; Chiguinda
140255; El Rosario
140256; Nueva Tarqui
140257; San Miguel De Cuyes
140258; El Ideal
140350;
140351; Indanza
140353; San Antonio
140356; San Miguel De Conchay
140357; Santa Susana De Chiviaza
140358; Yunganza
140450; Palora (Metzera)
140451; Arapicos
140452; Cumanda
140454; Sangay
140455; 16 De Agosto
140550; Santiago De Mendez
140551; Copal
140552; Chupianza
140553; Patuca
140554; San Luis De El Acho
140556; Santiago
140557; San Francisco De Chinimb
140650; Sucua
140651; Asuncion
140652; Huambi
140655; Santa Marianita De Jesus
140750; Huamboya
140751; Chiguaza
140850; San Juan Bosco
140851; Pan De Azucar
140852; San Carlos De Limon
140853; San Jacinto De Wakambeis
140854; Santiago De Pananza
140950; Taisha
140951; Huasaga
140952; Macuma
140953; Tutinentza
140954; Pumpuentsa
141050; Logroño
141051; Yaupi
141052; Shimpis
141150; Pablo Vi
141250; Tiwintza
141251; San Jose De Morona
150150; Tena
150151; Ahuano
150153; Chontapunta
150154; Pano
150155; Puerto Misahualli
150156; Puerto Napo
150157; Talag
150350; Archidona
150352; Cotundo
150354; San Pablo De Ushpayacu
150450; El Chaco
150451; Gonzalo Diaz De Pineda
150452; Linares
150453; Oyacachi
150454; Santa Rosa
150455; Sardinas
150750; Baeza
150751; Cosanga
150752; Cuyuja
150753; Papallacta
150754; San Francisco De Borja
150756; Sumaco
150950; Carlos Julio Arosemena Tola
160150; Puyo
160152; Canelos
160154; Diez De Agosto
160155; Fatima
160156; Montalvo (Andoas)
160157; Pomona
160158; Rio Corrientes
160159; Rio Tigre
160161; Sarayacu
160162; Simón Bolivar
160163; Tarqui
160164; Teniente Hugo Ortiz
160165; Veracruz (Indillama)
160166; El Triunfo
160250; Mera
160251; Madre Tierra
160252; Shell
160350; Santa Clara
160351; San Jose
160450; Arajuno
160451; Curaray
170150; Quito
170151; Alangasi
170152; Amaguaña
170153; Atahualpa (Habaspamba)
170154; Calacali
170155; Calderon (Carapungo)
170156; Conocoto
170157; Cumbaya
170158; Chavezpamba
170159; Checa (Chilpa)
170160; El Quinche
170161; Gualea
170162; Guangopolo
170163; Guayllabamba
170164; La Merced
170165; Llano Chico
170166; Lloa
170168; Nanegal
170169; Nanegalito
170170; Nayon
170171; Nono
170172; Pacto
170174; Perucho
170175; Pifo
170176; Pintag
170177; Pomasqui
170178; Puellaro
170179; Puembo
170180; San Antonio
170181; San Jose De Minas
170183; Tababela
170184; Tumbaco
170185; Yaruqui
170186; Zambiza
170250; Cayambe
170251; Ascazubi
170252; Cangahua
170253; Olmedo (Pesillo)
170254; Oton
170255; Santa Rosa De Cuzubamba
170350; Machachi
170351; Aloag
170352; Aloasi
170353; Cutuglahua
170354; El Chaupi
170355; Manuel Cornejo Astorga
170356; Tambillo
170357; Uyumbicho
170450; Tabacundo
170451; La Esperanza
170452; Malchingui
170453; Tocachi
170454; Tupigachi
170550; Sangolqui
170551; Cotogchoa
170552; Rumipamba
170750; San Miguel De Los Bancos
170751; Mindo
170850; Pedro Vicente Maldonado
170950; Puerto Quito
180150; Ambato
180151; Ambatillo
180152; Atahualpa (Chisalata)
180153; Martinez
180154; Constantino Fernandez
180155; Huachi Grande
180156; Izamba
180157; Juan Benigno Vela
180158; Montalvo
180159; Pasa
180160; Picaigua
180161; Pilaguin (Pilahuin)
180162; Quisapincha (Quizapincha)
180163; San Bartolome De Pinllog
180164; San Fernando
180165; Santa Rosa
180166; Totoras
180167; Cunchibamba
180168; Unamuncho
180250; Baños
180251; Lligua
180252; Rio Negro
180253; Rio Verde
180254; Ulba
180350; Cevallos
180450; Mocha
180451; Pinguili
180550; Patate
180551; El Triunfo
180552; Los Andes
180553; Sucre
180650; Quero
180651; Rumipamba
180652; Yanayacu - Mochapata
180750; Pelileo
180751; Benitez (Pachanlica)
180752; Bolivar
180753; Cotalo
180754; Chiquicha
180755; El Rosario (Rumichaca)
180756; Garcia Moreno (Chumaqui)
180757; Guambalo (Huambalo)
180758; Salasaca
180850; Pillaro
180851; Baquerizo Moreno
180852; Emilio Maria Teran
180853; Marcos Espinel (Chacata)
180854; Presidente Urbina
180855; San Andres
180856; San Jose De Poalo
180857; San Miguelito
180950; Tisaleo
180951; Quinchicoto
190150; Zamora
190151; Cumbaratza
190152; Guadalupe
190153; Imbana
190155; Sabanilla
190156; Timbara
190158; San Carlos De Las Minas
190250; Zumba
190251; Chito
190252; El Chorro
190254; La Chonta
190256; Pucapamba
190259; San Andres
190350; Guayzimi
190351; Zurmi
